	8x8				12x12				16x16				20x20				24x24	
	pure  Z3				pure  Z3				pure Z3				pure Z3				pure Z3	
g	energy	MCerror		g	energy	MCerror		g	energy	MCerror		g	energy	MCerror		g	energy	MCerror
0	-1.53125020185455	7.13937260688381E-7		0	-1.68046572579346	3.43281101129934E-5		0	-1.75781267772136	1.24220574728011E-6		0	-1.80499993466196	4.52899867057933E-7		0	-1.83680506350951	4.76288034545472E-7
0.1	-1.19022397401637	3.59485149462109E-6		0.1	-1.32193541184261	1.69998705555831E-5		0.1	-1.39052235654499	1.04974633449058E-5		0.1	-1.43250227014155	4.4031027410522E-6		0.1	-1.46084328627058	1.95753350738039E-6
0.2	-0.872346016019859	8.54152346125438E-6		0.2	-0.9832430042537	3.57765247977956E-5		0.2	-1.04158748749265	1.0938173652E-5		0.2	-1.07754388851325	9.23542938729596E-6		0.2	-1.10187522751825	3.17111393743498E-6
0.21	-0.842343271688737	7.4257146594511E-6		0.21	-0.950836965773601	1.92905158963759E-5		0.21	-1.00801827209367	1.04537075085781E-5		0.21	-1.04323653806315	7.38524917889281E-6		0.21	-1.06711215407995	9.83312410214727E-6
0.22	-0.812664002622053	2.39243708615248E-5		0.22	-0.918705636072715	1.52838383598208E-5		0.22	-0.974681657233581	1.71630674644533E-5		0.22	-1.00919700252689	7.29253771467349E-6		0.22	-1.03259803525456	1.14914629839381E-5
0.23	-0.783480650040086	9.02090768781151E-6		0.23	-0.886931535850167	1.40980172560933E-5		0.23	-0.941659413739582	8.74523400236946E-6		0.23	-0.975459628163759	1.13157725300452E-5		0.23	-0.998323513687457	1.3896687814844E-5
0.24	-0.754724931201332	5.21964297293546E-6		0.24	-0.855494754882885	1.15078562103852E-5		0.24	-0.908909179404071	1.61111421415603E-5		0.24	-0.941982837533349	7.72442516700123E-6		0.24	-0.964301203809407	1.51810934808895E-5
0.25	-0.72645310491387	7.59460828349344E-6		0.25	-0.824449781265835	1.50116183911109E-5		0.25	-0.876529214055787	1.85925225353765E-5		0.25	-0.908814790830378	1.1493271741501E-5		0.25	-0.930591454592022	1.65262090823173E-5
0.26	-0.69870801831487	8.08477173127591E-6		0.26	-0.79380700780049	1.71533401698266E-5		0.26	-0.844533671790916	1.24820665248971E-5		0.26	-0.875963917193208	1.1741415824637E-5		0.26	-0.897144500961135	1.15656653117303E-5
0.27	-0.671547719111104	9.59839277874774E-6		0.27	-0.763649758246517	2.31002783219536E-5		0.27	-0.812889557507226	1.54867345550593E-5		0.27	-0.843475083655842	1.06224912687458E-5		0.27	-0.864066624160797	1.74217504476855E-5
0.28	-0.645000427862487	1.1722733237324E-5		0.28	-0.733940961289961	1.83573113714339E-5		0.28	-0.781650949951112	1.92314494398584E-5		0.28	-0.811328252427329	9.59957902142831E-6		0.28	-0.831532824512318	9.54880497040401E-6
0.29	-0.61917563796361	1.3060793284311E-5		0.29	-0.70475833714233	2.17061871579633E-5		0.29	-0.750863196376136	2.56651586652434E-5		0.29	-0.779589539189555	1.15230723784446E-5		0.29	-0.799163743231045	9.73397678830906E-6
0.3	-0.594039028111195	2.25913853464587E-5		0.3	-0.676110438368179	3.56355824202501E-5		0.3	-0.720498568305937	2.06397121967115E-5		0.3	-0.748255007823472	1.72169294572337E-5		0.3	-0.767206225544559	8.20315061867261E-6
