	8x8  Z3	8x8 Z3			12x12 Z3	12x12 Z3			16x16 Z3	16x16 Z3			20x20 Z3	20x20 Z3			24x24 Z3	24x24 Z3			
g	1st Derivative	2nd Derivative		g	1st Derivative	2nd Derivative		g	1st Derivative	2nd Derivative		g	1st Derivative	2nd Derivative		g	1st Derivative	2nd Derivative			
0	3.50029563268036	-1.90414040599916		0	3.66665927459097	-1.69249950719496		0	3.7509515797405	-1.62284813036371		0	3.79995361667348	-1.54943605777265		0	3.83281398961525	-1.50988359720804			
0.1	3.30988159208045	-2.85747011395885		0.1	3.49740932387148	-2.3803222945003		0.1	3.58866676670413	-2.14592248484933		0.1	3.64501001089621	-2.05110872309292		0.1	3.68182562989445	-1.94122451720602			
0.2	3.02413458068456	-4.03861768869889		0.2	3.25937709442145	-3.0800906518091		0.2	3.37407451821919	-2.73651133501987		0.2	3.43989913858692	-2.47783259428163		0.2	3.48770317817385	-2.40394960274122			
0.21	2.98374840379757	-4.08194604506159		0.21	3.22857618790336	-3.27556333733985		0.21	3.346709404869	-2.90362936694391		0.21	3.4151208126441	-2.66945443893412		0.21	3.46366368214644	-2.41796888497286			
0.22	2.94292894334696	-4.32699147402348		0.22	3.19582055452996	-3.53035062427228		0.22	3.31767311119956	-2.92273044916259		0.22	3.38842626825476	-2.79905141288546		0.22	3.43948399329671	-2.56845824263153			
0.23	2.89965902860672	-4.72720119784579		0.23	3.16051704828723	-3.5948159205483		0.23	3.28844580670793	-3.31278503415571		0.23	3.36043575412591	-2.9528851804535		0.23	3.41379941087039	-2.64911263432506			
0.24	2.85238701662827	-5.11968481942101		0.24	3.12456888908175	-3.97210605905155		0.24	3.25531795636637	-3.28186902448709		0.24	3.33090690232137	-3.05398201932943		0.24	3.38730828452714	-2.97851663729656			
0.25	2.80119016843406	-5.49738621852703		0.25	3.08484782849124	-4.23680088351853		0.25	3.2224992661215	-3.84835902977732		0.25	3.30036708212808	-3.33978661463688		0.25	3.35752311815418	-2.95581419957847			
0.26	2.74621630624879	-6.06445881797741		0.26	3.04247981965605	-4.85498646664392		0.26	3.18401567582373	-4.00472286446547		0.26	3.26696921598171	-3.54164900629694		0.26	3.32796497615839	-3.29698783732421			
