Fig3-a	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--																
g=0.4	odd -Z2-32x32	Plaquette	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
--	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
1	1.9388301435	1.787404674625	1.8693634305	1.84261222575	1.853584026	1.848494242125	1.851075927875	1.84896968975	1.853017270375	1.850658844875	1.849700575125	1.850836533375	1.849932882625	1.851315413375	1.85014584975	1.848142629375	1.849134441875	1.848673169	1.851087567	1.852280161375	1.85539063625	1.853543184375	1.8531967195	1.852970866	1.850993692	1.85033855675	1.853764715375	1.840607929375	1.867063223	1.787083779125	1.937822034
2	1.78897235075	1.76713156625	1.81926777	1.815525470125	1.823809254375	1.82577948675	1.8275288475	1.822893225625	1.826924635	1.82468845175	1.82414493175	1.826360082125	1.8257368175	1.828684183125	1.82701813425	1.82459274575	1.822224380875	1.825662145625	1.823907791125	1.829153922375	1.82693699975	1.824469486	1.828749763	1.830964251125	1.822950933	1.824157812875	1.82351531725	1.81931265275	1.818946490375	1.7662484115	1.785143736125
3	1.867857761875	1.821126009	1.862241591375	1.8520191595	1.85413799225	1.85339995825	1.856642550625	1.85351804075	1.85829109475	1.858728358125	1.860185816	1.855872848	1.856825850375	1.855896936125	1.85841655525	1.858406503	1.856412855875	1.858309932625	1.856112081	1.86095717775	1.856765459125	1.851769753125	1.855458703	1.862197904875	1.857350307625	1.858980963375	1.8607502185	1.855841404	1.86140730725	1.824185507125	1.86677104175
4	1.842321830625	1.819827597	1.85274989425	1.8494800965	1.85059393825	1.853466922125	1.8511682725	1.8528663095	1.86003204875	1.856089557125	1.86013112625	1.856698796375	1.857424621375	1.854399226375	1.860268049	1.85579228725	1.855109719	1.857278399125	1.856588394625	1.857321600625	1.85322196925	1.851937979875	1.85314564525	1.857397859	1.854859491125	1.8537299885	1.85559728325	1.85301644825	1.84678787625	1.813462198375	1.83619011575
5	1.85450841475	1.8217057505	1.853182101375	1.854610437125	1.853865003375	1.85598250125	1.854352217125	1.855173159	1.855078163625	1.852516638125	1.860456327125	1.854704218125	1.857614066125	1.857058907375	1.859682869	1.857609980375	1.85793244375	1.85682678625	1.8550550155	1.855968923375	1.857840142125	1.855873930375	1.854231042375	1.85881054975	1.8588252925	1.852278135125	1.856422475125	1.858475219	1.859775453375	1.824044604875	1.851111986625
6	1.851735411375	1.826117518375	1.852373622875	1.8546168385	1.85716732825	1.856463959875	1.858624453625	1.85714894575	1.856387132625	1.855805292875	1.8554613195	1.8578238105	1.85874179075	1.857159496375	1.855112988125	1.856502249625	1.85302281775	1.85562202275	1.856993553	1.856504216125	1.862006089625	1.855968173375	1.856559784125	1.86239667625	1.859359971	1.85610371275	1.852497426875	1.85302941225	1.857318672625	1.825130709875	1.84829569875
7	1.851082341875	1.828148140875	1.855137242625	1.857573998875	1.858419154875	1.85444792525	1.852607070125	1.8562035625	1.86011902325	1.857681554625	1.853558204625	1.854325711375	1.854117205375	1.85682507225	1.853813612875	1.857609224375	1.857678257125	1.857822749875	1.85748902575	1.85455916	1.860126255875	1.8565903115	1.854616148625	1.860011268625	1.857772350625	1.856904065625	1.856340168	1.851234762	1.85448536425	1.821604658625	1.8505116035
8	1.85008633475	1.825611325625	1.856514539375	1.862061054625	1.863753075875	1.860392377	1.853025237875	1.8546413535	1.8577536125	1.857243258625	1.8581048605	1.8550541845	1.855260448	1.853284812125	1.855213143625	1.85605655925	1.857002308625	1.855952617	1.857254439125	1.85673856275	1.857369593875	1.848873627125	1.8523026395	1.858029944875	1.8599754025	1.86159477425	1.857462347875	1.852106109375	1.854038677375	1.822857038	1.849377273625
9	1.854180908	1.826244961875	1.857249871875	1.8526686	1.85662344375	1.856472399625	1.85533893125	1.856181927	1.854956645625	1.859077423875	1.857651022125	1.852954010125	1.85797183525	1.861118925375	1.858983315375	1.855931815375	1.85826389275	1.858035857375	1.85765600475	1.85243401125	1.85706319225	1.853321521	1.85638323675	1.857477713875	1.859467905125	1.859146775125	1.855366236625	1.85334873375	1.85372056675	1.82518767025	1.847019894875
10	1.856530744	1.829732904	1.85972354275	1.8547520845	1.852734470375	1.8573728315	1.8587729165	1.85891189775	1.855777124125	1.8600803815	1.855708669875	1.857862804	1.858021124	1.860329037125	1.86045668125	1.858923178625	1.85894462625	1.85876089725	1.857277623375	1.85694327825	1.86233204975	1.858495588375	1.85434421875	1.85364344225	1.856124225	1.858290563	1.859087328625	1.852838235625	1.856023096125	1.82444823675	1.851307403875
