odd_Z2	12x12		12x12			odd_Z2	16x16		16x16			odd_Z2	20x20		20x20			odd_Z2	24x24		24x24			odd_Z2	32x32		32x32		
g	dimerX^2	MCerror	dimerY^2	MCerror		g	dimerX^2	MCerror	dimerY^2	MCerror		g	dimerX^2	MCerror	dimerY^2	MCerror		g	dimerX^2	MCerror	dimerY^2	MCerror		g	dimerX^2	MCerror	dimerY^2	MCerror	
0	0.0336070407738207	0.00132794009516138	0.033206415823537	0.0012613581024775		0	0.0176750832731322	0.00124607108280753	0.0176607921271159	7.35248552586598E-4		0	0.0118613916714516	0.00162399101260796	0.0111273372774747	0.00142220493619588		0	0.00798756383465008	9.01915862008581E-4	0.00744083311986413	7.58545510533172E-4		0	0.00414827111519697	2.17978974456306E-4	0.00427396514308183	4.3262618843798E-4	
0.1	0.0320610760841404	3.81355972863142E-4	0.032409067374523	5.61159760351689E-4		0.1	0.0171675064719744	2.9194583344834E-4	0.0171240855989456	2.52283411792158E-4		0.1	0.0105637160856354	3.73977690281213E-4	0.010540249658939	4.18155619866452E-4		0.1	0.00722441012298675	5.08787088804766E-4	0.00729923011581513	4.6616697088045E-4		0.1	0.00387304910952391	1.92454742320047E-4	0.004101208650289	1.44439963972595E-4	
0.15	0.0325408663815445	3.49278743985749E-4	0.0323945417443707	3.68466547071858E-4		0.15	0.0170248943825035	2.71784108557531E-4	0.0171442164041226	2.17038771560658E-4		0.2	0.0105651150161759	2.75966935132478E-4	0.0105830062402685	2.35978605931549E-4		0.2	0.00711742966087348	2.2417136323733E-4	0.00721012658574873	1.90041404151072E-4		0.2	0.00388263164415383	1.08106926948244E-4	0.00386852516417929	1.1080878021178E-4	
0.2	0.0327971768288872	5.30770474375747E-4	0.0326612953480684	2.61376246133253E-4		0.2	0.0172378642984228	1.58348942747196E-4	0.0172920708431944	2.39659560796087E-4		0.3	0.0112111484221756	3.48880370184376E-4	0.0110835203746996	2.25432627488746E-4		0.3	0.00743806895022928	2.58878579189436E-4	0.00753268486591731	1.89279748591722E-4		0.25	0.0039607642582254	1.32582959246921E-4	0.00395560291298009	1.35178680794234E-4	
0.25	0.0334006951398191	5.89225615100176E-4	0.0336659266967608	7.9327194755551E-4		0.25	0.0176184036341058	1.40093784562271E-4	0.017626243699397	2.2166583051322E-4		0.4	0.0131649124197919	1.31555133556161E-4	0.0130427527338842	2.08250820672265E-4		0.4	0.00873722193604714	1.03006048014271E-4	0.008740026708731	1.55154159616013E-4		0.3	0.00406089732213025	7.52313348797876E-5	0.00408775087338834	7.24519849390055E-5	
0.3	0.0354225929531493	0.00131450179667354	0.0349947598168156	0.00105120268266127		0.3	0.0182693393651275	1.39028985689789E-4	0.0183156417848422	1.63695285008386E-4		0.5	0.0186427154952302	2.0137233701729E-4	0.0187602425070911	2.84813092353487E-4		0.5	0.0122713032601763	1.76661233937034E-4	0.0123196512295898	1.7740569028397E-4		0.4	0.00474087852781219	9.26546999941127E-5	0.00470167814173382	6.48190313515216E-5	
0.35	0.0376084927904628	7.82076897551411E-4	0.0385625357049166	7.87785282613883E-4		0.35	0.0195648340791852	1.84503262836886E-4	0.0196295317380853	1.32751287761454E-4		0.55	0.0254964935908181	2.45307981860227E-4	0.025793874702162	4.03219774862087E-4		0.55	0.0164831991938024	2.87248888026252E-4	0.016675596465595	2.74321026731129E-4		0.5	0.00655240840086028	7.62476084160061E-5	0.0066126978740615	6.45274355841507E-5	
0.4	0.0418533141586844	6.29293561378912E-4	0.0424639597778523	6.94274577138381E-4		0.4	0.0217826004780302	1.78958012211948E-4	0.0217287333817307	1.81956537124578E-4		0.6	0.04111373106824	4.87511238107183E-4	0.0411931108356186	5.07609336913869E-4		0.6	0.0282700627928745	4.11636172579252E-4	0.0285163093091727	3.91755895755029E-4		0.55	0.00888734143153437	9.32972410695141E-5	0.00901909414589273	7.55084160541612E-5	
0.45	0.0494272031294757	7.18558697934865E-4	0.0497580364321576	7.56983564079642E-4		0.45	0.0251792848324099	1.84398033514476E-4	0.0253132327207887	1.16852533209133E-4		0.62	0.0511625412186898	5.10495422545587E-4	0.0510753658741123	7.95525516563991E-4		0.62	0.0368630268244862	4.23377025306232E-4	0.0370284383879229	4.03943134340975E-4		0.6	0.014637276113472	8.17191443846886E-5	0.0149623378560549	1.82383976794336E-4	
