Fig3d_inset	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
	g/h=0		g/h=0.1		g/h=0.2		g/h=0.3		g/h=0.4		g/h=0.5		g/h=0.6		g/h=0.62		g/h=0.64		g/h=0.65		g/h=0.66		g/h=0.68		g/h=0.70																								
Area	ln<W>	error	ln<W>	error	ln<W>	error	ln<W>	error	ln<W>	error	ln<W>	error	ln<W>	error	ln<W>	error	ln<W>	error	ln<W>	error	ln<W>	error	ln<W>	error	ln<W>	error																							
25	-7.4640093900849E-5	3.99244746454671E-4	-0.024914282748199	0.00172778572111199	-0.0991746770280991	0.00348546910709866	-0.214649127809423	0.00834543882357925	-0.386014760644412	0.0056344997408898	-0.61699891784076	0.00876242494814078	-0.993953520193517	0.019856769826327	-1.1735760880627	0.0114266503224249	-1.61896142275945	0.0171440310246465	-1.8656210283359	0.0354966104403665	-2.09371069771296	0.0428896073688252	-2.54751341718643	0.0180176664655449	-3.08974956482854	0.0735153062743605																							
49	-3.24719370304174E-4	6.301928079037E-4	-0.0365000692723348	0.00330916862517506	-0.138939128573409	0.00592859881812312	-0.301727544675723	0.0078726637664128	-0.533159593925515	0.0089035849932231	-0.867353601730782	0.0134339281232159	-1.38638297253509	0.0131258452157252	-1.62512544336257	0.0186890182297387	-2.1618668120487	0.039747371810987	-2.45298047630226	0.0372951632303166	-2.74313116983653	0.0437841767891677	-3.28205276171266	0.0598524617253388	-3.82642531113676	0.0775233088853749																							
81	-5.38070529331645E-4	6.09695906741116E-4	-0.0427051110440264	0.00521625936573169	-0.176765948564575	0.00563107751616301	-0.389349156314724	0.0109615300305257	-0.697686201984791	0.0120283757403686	-1.10996820050239	0.0156649589546212	-1.78034165987457	0.0369799660982845	-2.20143407115924	0.0341389714525962	-3.04730951492923	0.0833805855131393	-3.4851218186958	0.168797980580005	-4.08449088988517	0.186169659212106	-5.00205497152118	0.14749171920136	-6.13137547647318	0.153162079761863																							
121	-3.86737237413665E-4	9.03112575933036E-4	-0.0565742833711021	0.0049013430125669	-0.21388024174185	0.00532180026940449	-0.472364489649699	0.00548295680522085	-0.844940456390422	0.012820507275937	-1.34187285501638	0.0260590898333628	-2.12180378511618	0.218865994175375	-2.66296222606976	0.0879347455757823	-3.63320911936389	0.0993370761770783	-4.10721855821883	0.247996484185098	-4.74451857420336	0.122233737600268	-5.81566510247928	0.116280424369614	-6.9551895830208	0.267779077373278																							
169	-7.80019305012874E-4	8.29244968533789E-4	-0.0622899353729768	0.00587447465522153	-0.254143657302284	0.00620857618806757	-0.566022564219623	0.0088452681798637	-1.00470828923244	0.0140315077287026	-1.60764174686439	0.0269880925457639	-2.67334081873373	0.0270111693261351	-3.41861516859669	0.078538648244764	-4.64370432484294	0.153240138724254	-5.47271534201029	0.229603271430999	-6.33742598919046	0.191618035240487	-7.33835548922322	0.634125624887417	-9.40712946503116	0.427232510392213																							
225	-9.26586123372028E-5	9.07252164460632E-4	-0.0738179211194571	0.00739911474850279	-0.292453303106485	0.0058665916421757	-0.657220894497609	0.00919392459563049	-1.1555747991047	0.0195993089770225	-1.84587028273138	0.0341550435262287	-3.09247350258745	0.0525524342309216	-3.79005619875414	0.141520412698501	-5.187453362332	0.351390788956336	-6.09414399360127	0.204649525251281	-6.94728585863842	0.362234521781689	-8.55491030148251	0.164966496265668	-10.0458695177587	0.454670576211406																							
289	3.50860564937824E-4	9.59057879184885E-4	-0.0827081837824096	0.00377391336241769	-0.331381827617447	0.0100117250773406	-0.733223980849021	0.0167092033164476	-1.32081154813046	0.015468203929104	-2.07210713881469	0.047018399319675	-3.75172956133284	0.0911832959146613	-4.97956287338105	0.153467597115	-6.99983620596121	0.341391362775803	-8.07657518397409	0.369956226005665	-9.22208105974317	0.639798350240825	-10.9116921173178	0.50019217799433	-13.0028891350784	1.17383929868808																							
--	--	--																																															
--	--	--																																															
--	--	--																																															
--	--	--																																															
--	--	--																																															
--	--	--																																															
--	--	--																																															
--	--	--																																															
Fig3d_main	--	--																																															
g/h	32x32 WL Slope 	Uncertainty																																															
0	0	0																																															
0.1	2.1E-4	1E-5																																															
0.2	8.8E-4	6E-5																																															
0.25	0.00126	1E-4																																															
0.3	0.00196	1.5E-4																																															
0.4	0.00367	2.5E-4																																															
0.5	0.00596	5E-4																																															
0.55	0.0072	5.6E-4																																															
0.6	0.0105	5E-4																																															
0.62	0.0149	9.5E-4																																															
0.64	0.02073	9.4E-4																																															
0.65	0.02256	8E-4																																															
0.66	0.02738	0.00123																																															
0.68	0.03115	0.001																																															
0.7	0.0376	0.0034																																															
0.75	0.049	0.003																																															
0.8	0.05755	0.0056																																															
0.85	0.0712	0.0096																																															
0.9	0.078	0.0096																																															
0.95	0.094	0.008																																															
1	0.082	0.007																																															
