16x16 h=1	Energy			16x16 h=1	Energy		
J	g=0.33			J	g=0.4		
0.02	-0.677696872223493	1.19015340554271E-5		0.02	-0.499415956933599	1.82216609640553E-5	
0.04	-0.691805904374435	1.92540886868681E-5		0.04	-0.504831780859365	1.08863688274523E-5	
0.06	-0.70756611707086	1.12006913068289E-5		0.06	-0.516882000466979	1.31474358365115E-5	
0.08	-0.725349303383206	1.67576335064885E-5		0.08	-0.531054751244846	1.11709778842243E-5	
0.1	-0.744209019019637	1.50277690920074E-5		0.1	-0.546441092639108	1.24873704840746E-5	
0.12	-0.763668250921509	1.90483805810972E-5		0.12	-0.563809591964953	1.21838649114347E-5	
0.14	-0.783356535005999	2.37241080090523E-5		0.14	-0.581767888225691	1.66502320893448E-5	
0.16	-0.803217853788181	1.51448992405643E-5		0.16	-0.600205365492337	1.10361866734203E-5	
0.18	-0.823218982770504	1.61941465109813E-5		0.18	-0.619547560521748	1.946414371755E-5	
0.2	-0.843262577541485	2.01913760924083E-5		0.2	-0.638776813122553	1.95843676406679E-5	
0.22	-0.863429548635283	2.73525732227339E-5		0.22	-0.658333996667496	1.71728460612448E-5	
0.24	-0.883572464683749	3.3529380541671E-5		0.24	-0.677842825683877	1.76078942252148E-5	
0.26	-0.903809893213476	2.01989658643327E-5		0.26	-0.697497373882567	4.64247380183732E-5	
0.28	-0.924046490344451	2.52835389366082E-5		0.28	-0.71748787696707	3.14447683535051E-5	
0.3	-0.944272124522296	2.24093705637287E-5		0.3	-0.737302153199353	3.08117046685163E-5	
0.32	-0.964581958570631	2.93782353417299E-5		0.32	-0.757226557528442	2.477273479069E-5	
0.34	-0.984898384520802	2.37676612456608E-5		0.34	-0.777129888057346	4.69101683672154E-5	
0.36	-1.00516092924427	3.96168830142495E-5		0.36	-0.797241877313372	3.84916529119425E-5	
0.38	-1.0254743259119	3.31096262802891E-5		0.38	-0.817210578678179	2.16368973283835E-5	
0.4	-1.04580721606497	3.09661761276309E-5		0.4	-0.837142061936242	1.97194327209105E-5	
0.42	-1.06616540033533	3.55806356664143E-5		0.42	-0.857352624142989	1.85177499293855E-5	
0.44	-1.08651043275447	4.85874080539044E-5		0.44	-0.877526746620035	2.57755234820694E-5	
0.46	-1.10691705925267	3.20015254822471E-5		0.46	-0.897703203941503	3.0959315136521E-5	
0.48	-1.12729965137969	2.63017994162725E-5		0.48	-0.917848268732727	3.21136547258049E-5	
0.5	-1.14791917434476	3.00341780524234E-5		0.5	-0.937975361734797	1.99490255348669E-5	
0.52	-1.16807847961424	3.65046725544351E-5		0.52	-0.958137820054261	2.92997064109014E-5	
0.54	-1.18850130362207	2.32667564606347E-5		0.54	-0.978350524341745	2.66693346690885E-5	
